what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1440530213812
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1440530213812
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1440530213812
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1440530213828
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1440530213828
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1440530213828
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1440530213843
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1440530213843
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1440530213843
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1440530213843
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1440530213859
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1440530213859
os,sysinfo,,,"win32",1440530213859
arch,sysinfo,,,"x86",1440530213859
ws,sysinfo,,,"win32",1440530213859
locale,sysinfo,,,"en_GB",1440530213859
processors,sysinfo,,,"2",1440530213859
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1440530213859
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1440530213859
java.specification.name,sysinfo,,,"Java Platform API Specification",1440530213859
java.specification.vendor,sysinfo,,,"Oracle Corporation",1440530213859
java.specification.version,sysinfo,,,"1.7",1440530213859
java.vendor,sysinfo,,,"Oracle Corporation",1440530213859
java.version,sysinfo,,,"1.7.0_40",1440530213859
java.vm.info,sysinfo,,,"mixed mode",1440530213859
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1440530213859
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1440530213859
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1440530213859
java.vm.specification.version,sysinfo,,,"1.7",1440530213859
java.vm.vendor,sysinfo,,,"Oracle Corporation",1440530213859
java.vm.version,sysinfo,,,"24.0-b56",1440530213859
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1440530213906
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1440530215031
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1440530215515
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1440530225562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440530233062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440530254578
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440530254765
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440530254906
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1440530262390
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1440530263578
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1440530264703
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1440530271750
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1440530334453
