what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1440620229484
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1440620229500
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1440620229500
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1440620229500
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1440620229500
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1440620229500
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1440620229515
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1440620229515
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1440620229515
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1440620229515
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1440620229515
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1440620229515
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1440620229531
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1440620229531
os,sysinfo,,,"win32",1440620229531
arch,sysinfo,,,"x86",1440620229531
ws,sysinfo,,,"win32",1440620229531
locale,sysinfo,,,"en_GB",1440620229531
processors,sysinfo,,,"2",1440620229531
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1440620229531
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1440620229531
java.specification.name,sysinfo,,,"Java Platform API Specification",1440620229531
java.specification.vendor,sysinfo,,,"Oracle Corporation",1440620229531
java.specification.version,sysinfo,,,"1.7",1440620229531
java.vendor,sysinfo,,,"Oracle Corporation",1440620229531
java.version,sysinfo,,,"1.7.0_40",1440620229531
java.vm.info,sysinfo,,,"mixed mode",1440620229531
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1440620229531
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1440620229531
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1440620229531
java.vm.specification.version,sysinfo,,,"1.7",1440620229531
java.vm.vendor,sysinfo,,,"Oracle Corporation",1440620229531
java.vm.version,sysinfo,,,"24.0-b56",1440620229531
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1440620242781
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1440620242781
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1440620242968
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1440620244406
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1440620244421
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1440620244578
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1440620244593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440620245562
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1440620246343
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1440620296250
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1440620296343
error,log,,,"Unable to load the repository http://download.eclipse.org/tools/mylyn/update/e3.4/",1440620297140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1440620371656
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1440620385593
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1440620472437
error,log,,,"Operation details",1440620502062
error,log,,,"Operation details",1440620502062
error,log,,,"Operation details",1440620502078
error,log,,,"Operation details",1440620502187
error,log,,,"Operation details",1440620529468
error,log,,,"Operation details",1440620587000
error,log,,,"Operation details",1440620587031
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440620596484
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1440620596546
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440620601953
error,log,,,"Operation details",1440620652125
error,log,,,"Operation details",1440620652140
error,log,,,"Operation details",1440620652140
error,log,,,"Operation details",1440620652187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440620887109
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1440620887218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440620895718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440620898859
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440620911406
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1440620970750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621010328
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1440621010406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621010671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621091500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621097187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621123937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621129500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621164843
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621165218
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1440621166093
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1440621166093
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1440621207593
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1440621207593
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1440621207593
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1440621207609
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1440621207609
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1440621207609
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1440621207609
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1440621207609
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1440621207609
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1440621207609
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1440621207609
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1440621207609
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1440621207609
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1440621207609
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1440621207609
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1440621207609
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1440621207609
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1440621207609
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1440621207609
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1440621207609
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1440621207609
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1440621207609
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1440621207609
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1440621207609
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1440621207609
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1440621207609
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1440621207609
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1440621207609
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1440621207625
