what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621905375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621905500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621905593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621909937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621920343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621920453
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621920531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621932078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621940421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621940500
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621940593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621944312
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621944562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621950875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621959406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621959437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440621959468
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622026062
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622069093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622069093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622069125
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622288390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622293781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622296671
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440622297234
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440622297234
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1440622299281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622300343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622302625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1440622302640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622304562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622305859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1440622305875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622344000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622436031
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440622437937
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440622438453
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622459109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622459187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622459640
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1440622459921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622470656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622417609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622417796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622418109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622428875
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622428906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622428937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622432375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622433718
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622434109
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622489593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622497828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622523093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622531671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622549859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622552390
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1440622556093
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1440622562890
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1440622562890
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1440622562890
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1440622562890
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1440622562890
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1440622563000
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1440622563078
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1440622563078
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1440622563078
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.409.v200911241856,"org.eclipse.jst.ws.creation.ui",1440622563093
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.106.v200911241851,"org.eclipse.jst.ws.consumption.ui",1440622563093
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.408.v200911241817,"org.eclipse.jst.ws.consumption",1440622563093
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1440622563093
stopped,bundle,org.eclipse.jst.ws.ui,1.0.402.v200903111822,"org.eclipse.jst.ws.ui",1440622563093
stopped,bundle,org.eclipse.jst.ws,1.0.407.v200905191120,"org.eclipse.jst.ws",1440622563156
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.408.v200911241806,"org.eclipse.wst.ws.explorer",1440622563156
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1440622563156
stopped,bundle,org.eclipse.wst.ws.ui,1.1.100.v200903112221,"org.eclipse.wst.ws.ui",1440622563156
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1440622563156
stopped,bundle,org.eclipse.wst.wsi,1.0.305.v200902181431,"org.eclipse.wst.wsi",1440622563156
stopped,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1440622563156
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1440622563156
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.300.v200901220600,"org.eclipse.jst.j2ee.webservice",1440622563156
stopped,bundle,org.eclipse.wst.ws.parser,1.0.402.v200901220107,"org.eclipse.wst.ws.parser",1440622563234
stopped,bundle,commonj.sdo,2.1.1.v200905221342,"commonj.sdo",1440622563281
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201001260400,"org.eclipse.datatools.enablement.oda.ws.ui",1440622563281
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.2.v201001131420,"org.eclipse.datatools.enablement.oda.ws",1440622563281
stopped,bundle,org.eclipse.wst.wsdl,1.2.2.v200911111930,"org.eclipse.wst.wsdl",1440622563281
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1440622563281
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.debug.ui",1440622563281
stopped,bundle,org.eclipse.wst.xsl.ui,1.0.100.v200907172129,"org.eclipse.wst.xsl.ui",1440622563281
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.0.0.v200904240436,"org.eclipse.wst.xml.xpath.ui",1440622563281
